image_name,label
1000_0801.png,1
1000_0802.png,7
1000_0803.png,1
1000_0804.png,16
1000_0805.png,10
1000_0806.png,12
1000_0807.png,19
1000_0808.png,17
1000_0809.png,12
1000_0810.png,13
1000_0812.png,17
1000_0813.png,11
1000_0815.png,15
1000_0816.png,11
1000_0817.png,14
1000_0818.png,15
1000_0819.png,1
1000_0820.png,7
1000_0821.png,0
1000_0822.png,16
1000_0823.png,10
1000_0824.png,12
1000_0825.png,19
1000_0826.png,19
1000_0828.png,12
1000_0829.png,13
1000_0830.png,17
1000_0831.png,11
1000_0832.png,15
1000_0833.png,11
1000_0834.png,14
1000_0835.png,14
1000_0836.png,10
1000_0837.png,5
1000_0838.png,11
1000_0839.png,16
1000_0842.png,0
1000_0844.png,17
1000_0845.png,5
1000_0846.png,18
1000_0847.png,4
1000_0848.png,6
1000_0849.png,9
1000_0850.png,12
1000_0854.png,16
1000_0855.png,5
1000_0857.png,18
1000_0859.png,16
1000_0860.png,10
1000_0861.png,5
1000_0862.png,14
1000_0863.png,16
1000_0865.png,0
1000_0866.png,17
1000_0867.png,5
1000_0868.png,14
1000_0869.png,4
1000_0870.png,6
1000_0871.png,9
1000_0872.png,11
1000_0873.png,16
1000_0874.png,6
1000_0875.png,18
1000_0876.png,17
1000_0878.png,15
1000_0879.png,10
1000_0880.png,8
1000_0881.png,18
1000_0882.png,3
1000_0883.png,10
1000_0884.png,2
1000_0885.png,8
1000_0886.png,1
1000_0887.png,15
1000_0888.png,8
1000_0889.png,13
1000_0890.png,11
1000_0891.png,15
1000_0892.png,18
1000_0894.png,4
1000_0895.png,15
1000_0896.png,10
1000_0897.png,8
1000_0898.png,19
1000_0899.png,3
1001_0801.png,11
1001_0802.png,2
1001_0803.png,7
1001_0804.png,1
1001_0805.png,15
1001_0806.png,8
1001_0807.png,13
1001_0808.png,11
1001_0809.png,15
1001_0810.png,18
1001_0812.png,4
1001_0813.png,11
1001_0815.png,19
1001_0816.png,11
1001_0817.png,9
1001_0818.png,16
1001_0819.png,0
1001_0820.png,5
1001_0821.png,5
1001_0822.png,19
1001_0823.png,16
1001_0824.png,10
1001_0825.png,10
1001_0826.png,7
1001_0828.png,6
1001_0829.png,2
1001_0830.png,5
1001_0831.png,11
1001_0832.png,19
1001_0833.png,11
1001_0834.png,9
1001_0835.png,16
1001_0836.png,0
1001_0837.png,5
1001_0838.png,5
1001_0839.png,19
1001_0842.png,16
1001_0844.png,10
1001_0845.png,9
1001_0846.png,18
1001_0847.png,6
1001_0848.png,2
1001_0849.png,7
1001_0850.png,10
1001_0854.png,19
1001_0855.png,17
1001_0857.png,18
1001_0859.png,7
1001_0860.png,18
1001_0861.png,5
1001_0862.png,19
1001_0863.png,11
1001_0865.png,3
1001_0866.png,1
1001_0867.png,14
1001_0868.png,1
1001_0869.png,19
1001_0870.png,6
1001_0871.png,9
